ingredient_id,name_kr,name_en
ING001,아세트아미노펜,Acetaminophen
ING002,이소프로필안티피린,Isopropylantipyrine
ING003,카페인무수물,Caffeine anhydrous
ING004,이부프로펜,Ibuprofen
ING005,판크레아틴,Pancreatin
ING006,푸르설티아민,Fursultiamine
